Date,Wages,Industrial Production,Capacity Utilization,Retail Sales,CPI,PCE ex Food & Energy,PPI Fin Goods ex Food & Energy,House Price Index,WTI Crude,Real Pers Income,Personal Saving Rate,Fed Funds,US10Y,Recession
4/1/1992,Med,Med,Med,Med,Med,Med,Med,Lo,Hi,Med,Med,Lo,Med,0
7/1/1992,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Lo,Lo,0
10/1/1992,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Lo,Lo,Med,0
1/1/1993,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Lo,Lo,Med,Lo,0
4/1/1993,Med,Med,Lo,Med,Med,Med,Med,Med,Lo,Med,Lo,Lo,Lo,0
7/1/1993,Med,Med,Lo,Med,Med,Med,Lo,Med,Lo,Med,Lo,Med,Lo,0
10/1/1993,Med,Med,Med,Med,Med,Med,Lo,Med,Lo,Med,Lo,Lo,Lo,0
1/1/1994,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Lo,Med,Med,0
4/1/1994,Med,Med,Med,Med,Med,Med,Med,Med,Hi,Med,Med,Hi,Hi,0
7/1/1994,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Hi,Med,0
10/1/1994,Med,Med,Med,Med,Med,Med,Med,Lo,Lo,Med,Med,Hi,Hi,0
1/1/1995,Med,Med,Med,Lo,Med,Med,Med,Med,Med,Med,Med,Hi,Lo,0
4/1/1995,Med,Med,Lo,Med,Med,Med,Med,Med,Hi,Med,Lo,Med,Lo,0
7/1/1995,Med,Med,Lo,Med,Med,Med,Med,Med,Lo,Med,Lo,Lo,Lo,0
10/1/1995,Med,Med,Lo,Med,Med,Med,Med,Med,Med,Med,Lo,Lo,Lo,0
1/1/1996,Med,Med,Lo,Med,Med,Med,Med,Med,Hi,Med,Med,Lo,Med,0
4/1/1996,Med,Med,Med,Med,Med,Med,Med,Med,Hi,Med,Lo,Lo,Hi,0
7/1/1996,Med,Med,Lo,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,0
10/1/1996,Med,Med,Lo,Med,Med,Med,Med,Med,Hi,Med,Lo,Med,Lo,0
1/1/1997,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Lo,Lo,Med,0
4/1/1997,Med,Med,Lo,Lo,Med,Med,Lo,Med,Lo,Med,Med,Med,Med,0
7/1/1997,Med,Med,Med,Med,Med,Med,Lo,Med,Lo,Med,Lo,Med,Lo,0
10/1/1997,Med,Med,Med,Lo,Med,Med,Med,Med,Med,Med,Med,Lo,Lo,0
1/1/1998,Med,Med,Lo,Med,Med,Med,Med,Med,Lo,Med,Med,Med,Lo,0
4/1/1998,Med,Med,Lo,Med,Med,Med,Med,Med,Lo,Med,Lo,Lo,Med,0
7/1/1998,Med,Med,Lo,Lo,Med,Med,Med,Med,Lo,Med,Lo,Med,Lo,0
10/1/1998,Med,Med,Lo,Med,Med,Med,Med,Med,Lo,Med,Lo,Lo,Lo,0
1/1/1999,Med,Med,Lo,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,0
4/1/1999,Med,Med,Lo,Med,Med,Med,Med,Med,Hi,Med,Lo,Med,Hi,0
7/1/1999,Med,Med,Lo,Med,Med,Med,Med,Med,Hi,Med,Lo,Med,Med,0
10/1/1999,Med,Med,Med,Med,Med,Med,Med,Med,Hi,Med,Lo,Med,Med,0
1/1/2000,Med,Med,Lo,Med,Med,Med,Med,Med,Hi,Med,Med,Med,Med,0
4/1/2000,Med,Med,Med,Lo,Med,Med,Med,Med,Med,Med,Med,Hi,Lo,0
7/1/2000,Med,Lo,Lo,Lo,Med,Med,Med,Med,Hi,Med,Med,Med,Lo,0
10/1/2000,Med,Lo,Lo,Lo,Med,Med,Med,Med,Med,Med,Lo,Lo,Lo,0
1/1/2001,Med,Lo,Lo,Lo,Med,Med,Med,Hi,Lo,Med,Med,Lo,Lo,1
