Date,Hours,Wages,Labor Productivity,Labor Participation,Industrial Production,Capacity Utilization,Inventories,Retail Sales,LMV Sales,Durable Goods Orders,Comm & Ind loans,Consumer Credit,CPI,CPI Food,CPI Energy,PCE,PCE ex Food & Energy,PPI Finished Goods,PPI Fin Goods ex Food & Energy,PPI Processed Goods,PPI Unprocessed Goods,House Price Index,WTI Crude,M1,M2,Real GDP,Real PCE,Real Private Investment,Real Pot GDP,Real Pers Income,Personal Saving Rate,VIX Index,IG Index,HY Index,Fed Funds,US10Y,AAA Yield,BBB Yield,Mortgage Rate,US10-FedFunds,"US10-FedFunds [abs, prior]"
04/01/92,0.00245700,0.00656045,0.00851761,0.00452489,0.01807618,0.01177207,0.00835096,0.00116675,0.02231076,0.06049625,-0.01258521,-0.00228933,0.00764405,0.00240700,0.00918065,0.00652866,0.00705219,0.00572691,0.00675828,0.00765172,0.02427533,-0.00023145,0.12275132,0.02759442,0.00064801,0.01084264,0.00678831,0.05655608,0.00596095,0.00978197,0.02061856,-1.94000000,0.02367398,0.02531379,-0.26000000,0.12000000,0.01000000,-0.07000000,-0.01000000,0.38000000,3.23000000
07/01/92,0.00000000,0.00558659,0.00893292,0.00000000,0.00792644,0.00123778,0.01135535,0.00853777,-0.00389712,-0.02523015,-0.00705324,0.00229458,0.00765763,0.00582115,0.01340115,0.00648632,0.00591348,0.00439274,0.00246140,0.00549882,0.01700000,0.01140178,0.02120641,0.02674810,0.00111857,0.00988071,0.01071841,0.00794408,0.00605114,0.00402727,-0.07070707,-1.72000000,0.05439132,0.05560115,-0.48000000,-0.74000000,-0.29000000,-0.41000000,-0.66000000,-0.26000000,3.61000000
10/01/92,0.00245098,0.00648148,0.00595621,-0.00450450,0.01006606,0.00420324,0.00597278,0.01150503,0.03912363,0.03336440,-0.00262406,0.00429093,0.00873580,0.00412356,0.01254826,0.00691606,0.00727104,0.00566939,0.00498512,-0.00026042,0.00491642,0.00503577,-0.05491463,0.04082051,0.00705675,0.01042904,0.01191848,0.03050966,0.00609823,0.00863202,-0.04347826,0.86000000,0.00951952,0.00913508,-0.26000000,0.08000000,0.03000000,0.14000000,0.17000000,0.34000000,3.35000000
01/01/93,0.00244499,0.00827967,-0.00864138,-0.00150830,0.00918717,0.00393943,0.01015660,0.00519040,-0.02259036,0.00374355,-0.00554680,0.01190847,0.00732240,0.00453890,-0.00162059,0.00593194,0.00691138,0.00426834,0.00592285,0.00607797,-0.00655577,0.00045550,-0.03173828,0.01901853,-0.00289051,0.00166972,0.00383383,0.02357670,0.00614984,-0.00459480,-0.01136364,-1.50000000,0.04249761,0.04115306,0.00000000,-0.42000000,-0.28000000,-0.43000000,-0.47000000,-0.42000000,3.69000000
04/01/93,0.00243902,0.00456204,-0.00581114,0.00151057,0.00200586,-0.00232986,0.00965430,0.01600138,0.09476117,0.01824240,-0.00920075,0.01078353,0.00719927,0.00788926,-0.00343741,0.00667287,0.00762660,0.00665597,0.00463679,0.00457409,0.02629765,0.00956121,-0.00453858,0.02785030,0.00442154,0.00582152,0.00909613,0.00575841,0.00627812,0.00804427,-0.05747126,-0.29000000,0.02958074,0.03520996,-0.04000000,-0.31000000,-0.31000000,-0.28000000,-0.27000000,-0.27000000,3.27000000
07/01/93,0.00243309,0.00544959,0.00438383,0.00000000,0.00384971,-0.00073746,0.00477745,0.01386074,-0.03589022,0.00153071,-0.00163274,0.01666037,0.00464955,0.00355796,-0.01053943,0.00447048,0.00560097,-0.00924082,-0.00754579,-0.00111684,-0.02879079,0.00811771,-0.09777102,0.02954182,0.00478106,0.00477164,0.01112967,-0.00679302,0.00633196,0.00135233,-0.10975610,-0.85000000,0.03977205,0.04032642,0.05000000,-0.36000000,-0.51000000,-0.49000000,-0.36000000,-0.41000000,3.00000000
10/01/93,0.00242718,0.00722674,0.00387973,0.00000000,0.01549317,0.01008610,0.00866301,0.01149664,0.06642336,0.03223618,-0.00536618,0.02612633,0.00828901,0.00950152,0.01162003,0.00567833,0.00511817,-0.00032162,-0.00103344,0.00086007,0.01581028,0.00816418,-0.07748456,0.02558713,0.00594789,0.01360139,0.00877844,0.05254401,0.00638180,0.00969420,-0.02739726,0.30000000,0.01718429,0.01792156,-0.05000000,-0.04000000,-0.08000000,-0.11000000,-0.04000000,0.01000000,2.59000000
01/01/94,0.00000000,0.00807175,0.00289855,0.00452489,0.01238671,0.00547979,0.00851994,0.01432207,0.03148528,0.03793012,0.01067037,0.02876488,0.00500103,0.00280958,-0.00708337,0.00366244,0.00464280,0.00514759,0.00738934,0.00395291,0.00418288,0.00626768,-0.09738284,0.01220707,0.00282657,0.00970372,0.01143817,0.03809297,0.00641953,0.00366829,-0.05633803,1.02000000,-0.00836280,-0.00039375,0.19000000,0.44000000,0.30000000,0.28000000,0.25000000,0.25000000,2.60000000
04/01/94,0.01210654,0.00444840,0.00096339,-0.00150150,0.01820352,0.01005208,0.01698941,0.01356659,-0.01128069,0.03842907,0.02492840,0.03568835,0.00565781,0.00420256,-0.00510942,0.00547362,0.00670841,0.00128031,0.00440109,0.00462210,-0.00319675,0.00595304,0.20229265,0.00633803,0.00201329,0.01355136,0.00777970,0.04918066,0.00644454,0.01430287,0.02985075,1.07000000,-0.03933665,-0.03590119,0.73000000,1.01000000,0.77000000,0.73000000,1.13000000,0.28000000,2.85000000
07/01/94,-0.00239234,0.00620018,-0.00577478,0.00000000,0.01274912,0.00335731,0.02307757,0.01141684,-0.00604027,0.01951975,0.02706680,0.03478728,0.00928625,0.01136918,0.02490310,0.00725843,0.00547905,0.00639335,0.00438180,0.01388771,-0.01846453,0.00410959,0.03589456,0.00691043,0.00080370,0.00584630,0.00762504,-0.01633796,0.00653703,0.00495623,-0.02898551,-1.99000000,0.00453662,0.00904687,0.57000000,0.28000000,0.26000000,0.28000000,0.16000000,-0.29000000,3.13000000
10/01/94,0.00239808,0.00792254,0.01048725,0.00300752,0.02040226,0.01027725,0.02022876,0.01509623,0.03983795,0.03595465,0.02694914,0.04019313,0.00584285,0.00620690,0.00122908,0.00465396,0.00515464,0.00111173,0.00072711,0.01571429,-0.01158416,-0.00081855,-0.04493774,-0.00043437,-0.00020076,0.01145516,0.01081148,0.04113810,0.00659892,0.01264659,0.04477612,2.75000000,-0.01085044,-0.00526377,0.68000000,0.51000000,0.40000000,0.37000000,0.52000000,-0.17000000,2.84000000
